Pokemon Id,Pokedex Number,Pokemon Name,Classification,Alternate Form Name,Original Pokemon ID,Legendary Type,Pokemon Height,Pokemon Weight,Primary Type,Secondary Type,Primary Ability,Primary Ability Description,Secondary Ability,Secondary Ability Description,Hidden Ability,Hidden Ability Description,Special Event Ability,Special Event Ability Description,Male Ratio,Female Ratio,Base Happiness,Game(s) of Origin,Region of Origin,Health Stat,Attack Stat,Defense Stat,Special Attack Stat,Special Defense Stat,Speed Stat,Base Stat Total,Health EV,Attack EV,Defense EV,Special Attack EV,Special Defense EV,Speed EV,EV Yield Total,Catch Rate,Experience Growth,Experience Growth Total,Experience Yield,Primary Egg Group,Secondary Egg Group,Egg Cycle Count,Pre-Evolution Pokemon Id,Evolution Details
392,264,"""Linoone""","""Rushing Pokemon""",NULL,NULL,NULL,0.5,32.5,"""Normal""",NULL,"""Pickup""","""The Pokémon may pick up the item an opposing Pokémon used during a battle. It may pick up items outside of battle, too.""","""Gluttony""","""Makes the Pokémon eat a held Berry when its HP drops to half or less, which is sooner than usual.""","""Quick Feet""","""Boosts the Speed stat if the Pokémon has a status condition.""",NULL,NULL,50,50,70,"""Ruby / Sapphire""","""Hoenn""",78,70,61,50,61,100,420,0,0,0,0,0,2,2,90,"""Medium Fast""",1000000,147,"""Field""",NULL,15,391,"""Level 20"""
393,265,"""Wurmple""","""Worm Pokemon""",NULL,NULL,NULL,0.3,3.6,"""Bug""",NULL,"""Shield Dust""","""This Pokémon's dust blocks the additional effects of attacks taken.""",NULL,NULL,"""Run Away""","""Enables a sure getaway from wild Pokémon.""",NULL,NULL,50,50,70,"""Ruby / Sapphire""","""Hoenn""",45,45,35,20,30,20,195,1,0,0,0,0,0,1,255,"""Medium Fast""",1000000,56,"""Bug""",NULL,15,NULL,NULL
394,266,"""Silcoon""","""Cocoon Pokemon""",NULL,NULL,NULL,0.6,10.0,"""Bug""",NULL,"""Shed Skin""","""The Pokémon may heal its own status conditions by shedding its skin.""",NULL,NULL,NULL,NULL,NULL,NULL,50,50,70,"""Ruby / Sapphire""","""Hoenn""",50,35,55,25,25,15,205,0,0,2,0,0,0,2,120,"""Medium Fast""",1000000,72,"""Bug""",NULL,15,393,"""Level 7 Based On Personality Value"""
395,267,"""Beautifly""","""Butterfly Pokemon""",NULL,NULL,NULL,1.0,28.4,"""Bug""","""Flying""","""Swarm""","""Powers up Bug-type moves when the Pokémon's HP is low.""",NULL,NULL,"""Rivalry""","""Becomes competitive and deals more damage to Pokémon of the same gender, but deals less to Pokémon of the opposite gender.""",NULL,NULL,50,50,70,"""Ruby / Sapphire""","""Hoenn""",60,70,50,100,50,65,395,0,0,0,3,0,0,3,45,"""Medium Fast""",1000000,178,"""Bug""",NULL,15,394,"""Level 10"""
396,268,"""Cascoon""","""Cocoon Pokemon""",NULL,NULL,NULL,0.7,11.5,"""Bug""",NULL,"""Shed Skin""","""The Pokémon may heal its own status conditions by shedding its skin.""",NULL,NULL,NULL,NULL,NULL,NULL,50,50,70,"""Ruby / Sapphire""","""Hoenn""",50,35,55,25,25,15,205,0,0,2,0,0,0,2,120,"""Medium Fast""",1000000,72,"""Bug""",NULL,15,393,"""Level 7 Based On Personality Value"""
397,269,"""Dustox""","""Poison Moth Pokemon""",NULL,NULL,NULL,1.2,31.6,"""Bug""","""Poison""","""Shield Dust""","""This Pokémon's dust blocks the additional effects of attacks taken.""",NULL,NULL,"""Compound Eyes""","""The Pokémon's compound eyes boost its accuracy.""",NULL,NULL,50,50,70,"""Ruby / Sapphire""","""Hoenn""",60,50,70,50,90,65,385,0,0,0,0,3,0,3,45,"""Medium Fast""",1000000,173,"""Bug""",NULL,15,396,"""Level 10"""
398,270,"""Lotad""","""Water Weed Pokemon""",NULL,NULL,NULL,0.5,2.6,"""Water""","""Grass""","""Swift Swim""","""Boosts the Pokémon's Speed stat in rain.""","""Rain Dish""","""The Pokémon gradually regains HP in rain. ""","""Own Tempo""","""This Pokémon has its own tempo, and that prevents it from becoming confused.""",NULL,NULL,50,50,70,"""Ruby / Sapphire""","""Hoenn""",40,30,30,40,50,30,220,0,0,0,0,1,0,1,255,"""Medium Slow""",1059860,44,"""Water 1""","""Grass""",15,NULL,NULL
399,271,"""Lombre""","""Jolly Pokemon""",NULL,NULL,NULL,1.2,32.5,"""Water""","""Grass""","""Swift Swim""","""Boosts the Pokémon's Speed stat in rain.""","""Rain Dish""","""The Pokémon gradually regains HP in rain. ""","""Own Tempo""","""This Pokémon has its own tempo, and that prevents it from becoming confused.""",NULL,NULL,50,50,70,"""Ruby / Sapphire""","""Hoenn""",60,50,50,60,70,50,340,0,0,0,0,2,0,2,120,"""Medium Slow""",1059860,119,"""Water 1""","""Grass""",15,398,"""Level 14"""
400,272,"""Ludicolo""","""Carefree Pokemon""",NULL,NULL,NULL,1.5,55.0,"""Water""","""Grass""","""Swift Swim""","""Boosts the Pokémon's Speed stat in rain.""","""Rain Dish""","""The Pokémon gradually regains HP in rain. ""","""Own Tempo""","""This Pokémon has its own tempo, and that prevents it from becoming confused.""",NULL,NULL,50,50,70,"""Ruby / Sapphire""","""Hoenn""",80,70,70,90,100,70,480,0,0,0,0,3,0,3,45,"""Medium Slow""",1059860,216,"""Water 1""","""Grass""",15,399,"""Water Stone"""
401,273,"""Seedot""","""Acorn Pokemon""",NULL,NULL,NULL,0.5,4.0,"""Grass""",NULL,"""Chlorophyll""","""Boosts the Pokémon's Speed stat in harsh sunlight. ""","""Early Bird""","""The Pokémon awakens from sleep twice as fast as other Pokémon.""","""Pickpocket""","""Steals an item from an attacker that made direct contact.""",NULL,NULL,50,50,70,"""Ruby / Sapphire""","""Hoenn""",40,40,50,30,30,30,220,0,0,1,0,0,0,1,255,"""Medium Slow""",1059860,44,"""Field""","""Grass""",15,NULL,NULL
402,274,"""Nuzleaf""","""Wily Pokemon""",NULL,NULL,NULL,1.0,28.0,"""Grass""","""Dark""","""Chlorophyll""","""Boosts the Pokémon's Speed stat in harsh sunlight. ""","""Early Bird""","""The Pokémon awakens from sleep twice as fast as other Pokémon.""","""Pickpocket""","""Steals an item from an attacker that made direct contact.""",NULL,NULL,50,50,70,"""Ruby / Sapphire""","""Hoenn""",70,70,40,60,40,60,340,0,2,0,0,0,0,2,120,"""Medium Slow""",1059860,119,"""Field""","""Grass""",15,401,"""Level 14"""
403,275,"""Shiftry""","""Wicked Pokemon""",NULL,NULL,NULL,1.3,59.6,"""Grass""","""Dark""","""Chlorophyll""","""Boosts the Pokémon's Speed stat in harsh sunlight. ""","""Early Bird""","""The Pokémon awakens from sleep twice as fast as other Pokémon.""","""Pickpocket""","""Steals an item from an attacker that made direct contact.""",NULL,NULL,50,50,70,"""Ruby / Sapphire""","""Hoenn""",90,100,60,90,60,80,480,0,3,0,0,0,0,3,45,"""Medium Slow""",1059860,216,"""Fairy""","""Grass""",15,402,"""Leaf Stone"""
404,276,"""Taillow""","""Tiny Swallow Pokemon""",NULL,NULL,NULL,0.3,2.3,"""Normal""","""Flying""","""Guts""","""It's so gutsy that having a status condition boosts the Pokémon's Attack stat.""",NULL,NULL,"""Scrappy""","""The Pokémon can hit Ghost-type Pokémon with Normal- and Fighting-type moves.""",NULL,NULL,50,50,70,"""Ruby / Sapphire""","""Hoenn""",40,55,30,30,30,85,270,0,0,0,0,0,1,1,200,"""Medium Slow""",1059860,54,"""Flying""",NULL,15,NULL,NULL
405,277,"""Swellow""","""Swallow Pokemon""",NULL,NULL,NULL,0.7,19.8,"""Normal""","""Flying""","""Guts""","""It's so gutsy that having a status condition boosts the Pokémon's Attack stat.""",NULL,NULL,"""Scrappy""","""The Pokémon can hit Ghost-type Pokémon with Normal- and Fighting-type moves.""",NULL,NULL,50,50,70,"""Ruby / Sapphire""","""Hoenn""",60,85,60,75,50,125,455,0,0,0,0,0,2,2,45,"""Medium Slow""",1059860,159,"""Flying""",NULL,15,404,"""Level 22"""
406,278,"""Wingull""","""Seagull Pokemon""",NULL,NULL,NULL,0.6,9.5,"""Water""","""Flying""","""Keen Eye""","""Keen eyes prevent other Pokémon from lowering this Pokémon's accuracy.""","""Hydration""","""Heals status conditions if it's raining.""","""Rain Dish""","""The Pokémon gradually regains HP in rain. """,NULL,NULL,50,50,70,"""Ruby / Sapphire""","""Hoenn""",40,30,30,55,30,85,270,0,0,0,0,0,1,1,190,"""Medium Fast""",1000000,54,"""Water 1""","""Flying""",20,NULL,NULL
407,279,"""Pelipper""","""Water Bird Pokemon""",NULL,NULL,NULL,1.2,28.0,"""Water""","""Flying""","""Keen Eye""","""Keen eyes prevent other Pokémon from lowering this Pokémon's accuracy.""","""Drizzle""","""The Pokémon makes it rain when it enters a battle.""","""Rain Dish""","""The Pokémon gradually regains HP in rain. """,NULL,NULL,50,50,70,"""Ruby / Sapphire""","""Hoenn""",60,50,100,95,70,65,440,0,0,2,0,0,0,2,45,"""Medium Fast""",1000000,154,"""Water 1""","""Flying""",20,406,"""Level 25"""
408,280,"""Ralts""","""Feeling Pokemon""",NULL,NULL,NULL,0.4,6.6,"""Psychic""","""Fairy""","""Synchronize""","""The attacker will receive the same status condition if it inflicts a burn, poison, or paralysis to the Pokémon.""","""Trace""","""When it enters a battle, the Pokémon copies an opposing Pokémon's Ability.""","""Telepathy""","""Anticipates an ally's attack and dodges it.""",NULL,NULL,50,50,35,"""Ruby / Sapphire""","""Hoenn""",28,25,25,45,35,40,198,0,0,0,1,0,0,1,235,"""Slow""",1250000,40,"""Human-Like""","""Amorphous""",20,NULL,NULL
409,281,"""Kirlia""","""Emotion Pokemon""",NULL,NULL,NULL,0.8,20.2,"""Psychic""","""Fairy""","""Synchronize""","""The attacker will receive the same status condition if it inflicts a burn, poison, or paralysis to the Pokémon.""","""Trace""","""When it enters a battle, the Pokémon copies an opposing Pokémon's Ability.""","""Telepathy""","""Anticipates an ally's attack and dodges it.""",NULL,NULL,50,50,35,"""Ruby / Sapphire""","""Hoenn""",38,35,35,65,55,50,278,0,0,0,2,0,0,2,120,"""Slow""",1250000,97,"""Human-Like""","""Amorphous""",20,408,"""Level 20"""
410,282,"""Gardevoir""","""Embrace Pokemon""",NULL,NULL,NULL,1.6,48.4,"""Psychic""","""Fairy""","""Synchronize""","""The attacker will receive the same status condition if it inflicts a burn, poison, or paralysis to the Pokémon.""","""Trace""","""When it enters a battle, the Pokémon copies an opposing Pokémon's Ability.""","""Telepathy""","""Anticipates an ally's attack and dodges it.""",NULL,NULL,50,50,35,"""Ruby / Sapphire""","""Hoenn""",68,65,65,125,115,80,518,0,0,0,3,0,0,3,45,"""Slow""",1250000,233,"""Human-Like""","""Amorphous""",20,409,"""Level 30"""
411,283,"""Surskit""","""Pond Skater Pokemon""",NULL,NULL,NULL,0.5,1.7,"""Bug""","""Water""","""Swift Swim""","""Boosts the Pokémon's Speed stat in rain.""",NULL,NULL,"""Rain Dish""","""The Pokémon gradually regains HP in rain. """,NULL,NULL,50,50,70,"""Ruby / Sapphire""","""Hoenn""",40,30,32,50,52,65,269,0,0,0,0,0,1,1,200,"""Medium Fast""",1000000,54,"""Water 1""","""Bug""",15,NULL,NULL
412,284,"""Masquerain""","""Eyeball Pokemon""",NULL,NULL,NULL,0.8,3.6,"""Bug""","""Flying""","""Intimidate""","""The Pokémon intimidates opposing Pokémon upon entering battle, lowering their Attack stat.""",NULL,NULL,"""Unnerve""","""Unnerves opposing Pokémon and makes them unable to eat Berries.""",NULL,NULL,50,50,70,"""Ruby / Sapphire""","""Hoenn""",70,60,62,100,82,80,454,0,0,0,1,1,0,2,75,"""Medium Fast""",1000000,159,"""Water 1""","""Bug""",15,411,"""Level 22"""
413,285,"""Shroomish""","""Mushroom Pokemon""",NULL,NULL,NULL,0.4,4.5,"""Grass""",NULL,"""Effect Spore""","""Contact with the Pokémon may inflict poison, sleep, or paralysis on its attacker.""","""Poison Heal""","""Restores HP if the Pokémon is poisoned instead of losing HP.""","""Quick Feet""","""Boosts the Speed stat if the Pokémon has a status condition.""",NULL,NULL,50,50,70,"""Ruby / Sapphire""","""Hoenn""",60,40,60,40,60,35,295,1,0,0,0,0,0,1,255,"""Fluctuating""",1640000,59,"""Fairy""","""Grass""",15,NULL,NULL
414,286,"""Breloom""","""Mushroom Pokemon""",NULL,NULL,NULL,1.2,39.2,"""Grass""","""Fighting""","""Effect Spore""","""Contact with the Pokémon may inflict poison, sleep, or paralysis on its attacker.""","""Poison Heal""","""Restores HP if the Pokémon is poisoned instead of losing HP.""","""Technician""","""Powers up the Pokémon's weaker moves.""",NULL,NULL,50,50,70,"""Ruby / Sapphire""","""Hoenn""",60,130,80,60,60,70,460,0,2,0,0,0,0,2,90,"""Fluctuating""",1640000,161,"""Fairy""","""Grass""",15,413,"""Level 23"""
415,287,"""Slakoth""","""Slacker Pokemon""",NULL,NULL,NULL,0.8,24.0,"""Normal""",NULL,"""Truant""","""The Pokémon can't use a move if it had used a move on the previous turn.""",NULL,NULL,NULL,NULL,NULL,NULL,50,50,70,"""Ruby / Sapphire""","""Hoenn""",60,60,60,35,35,30,280,1,0,0,0,0,0,1,255,"""Slow""",1250000,56,"""Field""",NULL,15,NULL,NULL
416,288,"""Vigoroth""","""Wild Monkey Pokemon""",NULL,NULL,NULL,1.4,46.5,"""Normal""",NULL,"""Vital Spirit""","""The Pokémon is full of vitality, and that prevents it from falling asleep.""",NULL,NULL,NULL,NULL,NULL,NULL,50,50,70,"""Ruby / Sapphire""","""Hoenn""",80,80,80,55,55,90,440,0,0,0,0,0,2,2,120,"""Slow""",1250000,154,"""Field""",NULL,15,415,"""Level 18"""
417,289,"""Slaking""","""Lazy Pokemon""",NULL,NULL,NULL,2.0,130.5,"""Normal""",NULL,"""Truant""","""The Pokémon can't use a move if it had used a move on the previous turn.""",NULL,NULL,NULL,NULL,NULL,NULL,50,50,70,"""Ruby / Sapphire""","""Hoenn""",150,160,100,95,65,100,670,3,0,0,0,0,0,3,45,"""Slow""",1250000,252,"""Field""",NULL,15,416,"""Level 36"""
418,290,"""Nincada""","""Trainee Pokemon""",NULL,NULL,NULL,0.5,5.5,"""Bug""","""Ground""","""Compound Eyes""","""The Pokémon's compound eyes boost its accuracy.""",NULL,NULL,"""Run Away""","""Enables a sure getaway from wild Pokémon.""",NULL,NULL,50,50,70,"""Ruby / Sapphire""","""Hoenn""",31,45,90,30,30,40,266,0,0,1,0,0,0,1,255,"""Erratic""",600000,53,"""Bug""",NULL,15,NULL,NULL
419,291,"""Ninjask""","""Ninja Pokemon""",NULL,NULL,NULL,0.8,12.0,"""Bug""","""Flying""","""Speed Boost""","""Its Speed stat is boosted every turn.""",NULL,NULL,"""Infiltrator""","""Passes through the opposing Pokémon's barrier, substitute, and the like and strikes.""",NULL,NULL,50,50,70,"""Ruby / Sapphire""","""Hoenn""",61,90,45,50,50,160,456,0,0,0,0,0,2,2,120,"""Erratic""",600000,160,"""Bug""",NULL,15,418,"""Level 20"""
420,292,"""Shedinja""","""Shed Pokemon""",NULL,NULL,NULL,0.8,1.2,"""Bug""","""Ghost""","""Wonder Guard""","""Its mysterious power only lets supereffective moves hit the Pokémon.""",NULL,NULL,NULL,NULL,NULL,NULL,0,0,70,"""Ruby / Sapphire""","""Hoenn""",1,90,45,30,30,40,236,2,0,0,0,0,0,2,45,"""Erratic""",600000,83,"""Mineral""",NULL,15,418,"""Have A Pokeball And Empty Space In Party"""
421,293,"""Whismur""","""Whisper Pokemon""",NULL,NULL,NULL,0.6,16.3,"""Normal""",NULL,"""Soundproof""","""Soundproofing gives the Pokémon full immunity to all sound-based moves.""",NULL,NULL,"""Rattled""","""Dark-, Ghost-, and Bug-type moves scare the Pokémon and boost its Speed stat.""",NULL,NULL,50,50,70,"""Ruby / Sapphire""","""Hoenn""",64,51,23,51,23,28,240,1,0,0,0,0,0,1,190,"""Medium Slow""",1059860,48,"""Monster""","""Field""",20,NULL,NULL
422,294,"""Loudred""","""Big Voice Pokemon""",NULL,NULL,NULL,1.0,40.5,"""Normal""",NULL,"""Soundproof""","""Soundproofing gives the Pokémon full immunity to all sound-based moves.""",NULL,NULL,"""Scrappy""","""The Pokémon can hit Ghost-type Pokémon with Normal- and Fighting-type moves.""",NULL,NULL,50,50,70,"""Ruby / Sapphire""","""Hoenn""",84,71,43,71,43,48,360,2,0,0,0,0,0,2,120,"""Medium Slow""",1059860,126,"""Monster""","""Field""",20,421,"""Level 20"""
423,295,"""Exploud""","""Loud Noise Pokemon""",NULL,NULL,NULL,1.5,84.0,"""Normal""",NULL,"""Soundproof""","""Soundproofing gives the Pokémon full immunity to all sound-based moves.""",NULL,NULL,"""Scrappy""","""The Pokémon can hit Ghost-type Pokémon with Normal- and Fighting-type moves.""",NULL,NULL,50,50,70,"""Ruby / Sapphire""","""Hoenn""",104,91,63,91,73,68,490,3,0,0,0,0,0,3,45,"""Medium Slow""",1059860,221,"""Monster""","""Field""",20,422,"""Level 40"""
424,296,"""Makuhita""","""Guts Pokemon""",NULL,NULL,NULL,1.0,86.4,"""Fighting""",NULL,"""Thick Fat""","""The Pokémon is protected by a layer of thick fat, which halves the damage taken from Fire- and Ice-type moves. ""","""Guts""","""It's so gutsy that having a status condition boosts the Pokémon's Attack stat.""","""Sheer Force""","""Removes additional effects to increase the power of moves when attacking.""",NULL,NULL,75,25,70,"""Ruby / Sapphire""","""Hoenn""",72,60,30,20,30,25,237,1,0,0,0,0,0,1,180,"""Fluctuating""",1640000,47,"""Human-Like""",NULL,20,NULL,NULL
425,297,"""Hariyama""","""Arm Thrust Pokemon""",NULL,NULL,NULL,2.3,253.8,"""Fighting""",NULL,"""Thick Fat""","""The Pokémon is protected by a layer of thick fat, which halves the damage taken from Fire- and Ice-type moves. ""","""Guts""","""It's so gutsy that having a status condition boosts the Pokémon's Attack stat.""","""Sheer Force""","""Removes additional effects to increase the power of moves when attacking.""",NULL,NULL,75,25,70,"""Ruby / Sapphire""","""Hoenn""",144,120,60,40,60,50,474,2,0,0,0,0,0,2,200,"""Fluctuating""",1640000,166,"""Human-Like""",NULL,20,424,"""Level 24"""
426,298,"""Azurill""","""Polka Dot Pokemon""",NULL,NULL,NULL,0.2,2.0,"""Normal""","""Fairy""","""Thick Fat""","""The Pokémon is protected by a layer of thick fat, which halves the damage taken from Fire- and Ice-type moves. ""","""Huge Power""","""Doubles the Pokémon's Attack stat.""","""Sap Sipper""","""Boosts the Attack stat if hit by a Grass-type move instead of taking damage.""",NULL,NULL,25,75,70,"""Ruby / Sapphire""","""Hoenn""",50,20,40,20,40,20,190,1,0,0,0,0,0,1,150,"""Fast""",800000,38,"""Undiscovered""",NULL,10,NULL,NULL
427,299,"""Nosepass""","""Compass Pokemon""",NULL,NULL,NULL,1.0,97.0,"""Rock""",NULL,"""Sturdy""","""It cannot be knocked out with one hit. One-hit KO moves cannot knock it out, either.""","""Magnet Pull""","""Prevents Steel-type Pokémon from escaping using its magnetic force.""","""Sand Force""","""Boosts the power of Rock-, Ground-, and Steel-type moves in a sandstorm.""",NULL,NULL,50,50,70,"""Ruby / Sapphire""","""Hoenn""",30,45,135,45,90,30,375,0,0,1,0,0,0,1,255,"""Medium Fast""",1000000,75,"""Mineral""",NULL,20,NULL,NULL
428,300,"""Skitty""","""Kitten Pokemon""",NULL,NULL,NULL,0.6,11.0,"""Normal""",NULL,"""Cute Charm""","""Contact with the Pokémon may cause infatuation.""","""Normalize""","""All the Pokémon's moves become Normal type. The power of those moves is boosted a little.""","""Wonder Skin""","""Makes status moves more likely to miss.""",NULL,NULL,25,75,70,"""Ruby / Sapphire""","""Hoenn""",50,45,45,35,35,50,260,0,0,0,0,0,1,1,255,"""Fast""",800000,52,"""Field""","""Fairy""",15,NULL,NULL
429,301,"""Delcatty""","""Prim Pokemon""",NULL,NULL,NULL,1.1,32.6,"""Normal""",NULL,"""Cute Charm""","""Contact with the Pokémon may cause infatuation.""","""Normalize""","""All the Pokémon's moves become Normal type. The power of those moves is boosted a little.""","""Wonder Skin""","""Makes status moves more likely to miss.""",NULL,NULL,25,75,70,"""Ruby / Sapphire""","""Hoenn""",70,65,65,55,55,90,400,1,0,0,0,0,1,2,60,"""Fast""",800000,140,"""Field""","""Fairy""",15,428,"""Moon Stone"""
430,302,"""Sableye""","""Darkness Pokemon""",NULL,NULL,NULL,0.5,11.0,"""Dark""","""Ghost""","""Keen Eye""","""Keen eyes prevent other Pokémon from lowering this Pokémon's accuracy.""","""Stall""","""The Pokémon moves after all other Pokémon do.""","""Prankster""","""Gives priority to a status move.""",NULL,NULL,50,50,35,"""Ruby / Sapphire""","""Hoenn""",50,75,75,65,65,50,380,0,1,1,0,0,0,2,45,"""Medium Slow""",1059860,133,"""Human-Like""",NULL,25,NULL,NULL
431,303,"""Mawile""","""Deceiver Pokemon""",NULL,NULL,NULL,0.6,11.5,"""Steel""","""Fairy""","""Hyper Cutter""","""The Pokémon's proud of its powerful pincers. They prevent other Pokémon from lowering its Attack stat.""","""Intimidate""","""The Pokémon intimidates opposing Pokémon upon entering battle, lowering their Attack stat.""","""Sheer Force""","""Removes additional effects to increase the power of moves when attacking.""",NULL,NULL,50,50,70,"""Ruby / Sapphire""","""Hoenn""",50,85,85,55,55,50,380,0,1,1,0,0,0,2,45,"""Fast""",800000,133,"""Field""","""Fairy""",20,NULL,NULL
432,304,"""Aron""","""Iron Armor Pokemon""",NULL,NULL,NULL,0.4,60.0,"""Steel""","""Rock""","""Sturdy""","""It cannot be knocked out with one hit. One-hit KO moves cannot knock it out, either.""","""Rock Head""","""Protects the Pokémon from recoil damage.""","""Heavy Metal""","""Doubles the Pokémon's weight.""",NULL,NULL,50,50,35,"""Ruby / Sapphire""","""Hoenn""",50,70,100,40,40,30,330,0,0,1,0,0,0,1,180,"""Slow""",1250000,66,"""Monster""",NULL,35,NULL,NULL
433,305,"""Lairon""","""Iron Armor Pokemon""",NULL,NULL,NULL,0.9,120.0,"""Steel""","""Rock""","""Sturdy""","""It cannot be knocked out with one hit. One-hit KO moves cannot knock it out, either.""","""Rock Head""","""Protects the Pokémon from recoil damage.""","""Heavy Metal""","""Doubles the Pokémon's weight.""",NULL,NULL,50,50,35,"""Ruby / Sapphire""","""Hoenn""",60,90,140,50,50,40,430,0,0,2,0,0,0,2,90,"""Slow""",1250000,151,"""Monster""",NULL,35,432,"""Level 32"""
434,306,"""Aggron""","""Iron Armor Pokemon""",NULL,NULL,NULL,2.1,360.0,"""Steel""","""Rock""","""Sturdy""","""It cannot be knocked out with one hit. One-hit KO moves cannot knock it out, either.""","""Rock Head""","""Protects the Pokémon from recoil damage.""","""Heavy Metal""","""Doubles the Pokémon's weight.""",NULL,NULL,50,50,35,"""Ruby / Sapphire""","""Hoenn""",70,110,180,60,60,50,530,0,0,3,0,0,0,3,45,"""Slow""",1250000,239,"""Monster""",NULL,35,433,"""Level 42"""
435,307,"""Meditite""","""Meditate Pokemon""",NULL,NULL,NULL,0.6,11.2,"""Fighting""","""Psychic""","""Pure Power""","""Using its pure power, the Pokémon doubles its Attack stat.""",NULL,NULL,"""Telepathy""","""Anticipates an ally's attack and dodges it.""",NULL,NULL,50,50,70,"""Ruby / Sapphire""","""Hoenn""",30,40,55,40,55,60,280,0,0,0,0,0,1,1,180,"""Medium Fast""",1000000,56,"""Human-Like""",NULL,20,NULL,NULL
436,308,"""Medicham""","""Meditate Pokemon""",NULL,NULL,NULL,1.3,31.5,"""Fighting""","""Psychic""","""Pure Power""","""Using its pure power, the Pokémon doubles its Attack stat.""",NULL,NULL,"""Telepathy""","""Anticipates an ally's attack and dodges it.""",NULL,NULL,50,50,70,"""Ruby / Sapphire""","""Hoenn""",60,60,75,60,75,80,410,0,0,0,0,0,2,2,90,"""Medium Fast""",1000000,144,"""Human-Like""",NULL,20,435,"""Level 37"""
437,309,"""Electrike""","""Lightning Pokemon""",NULL,NULL,NULL,0.6,15.2,"""Electric""",NULL,"""Static""","""The Pokémon is charged with static electricity, so contact with it may cause paralysis.""","""Lightning Rod""","""The Pokémon draws in all Electric-type moves. Instead of being hit by Electric-type moves, it boosts its Sp. Atk.""","""Minus""","""Boosts the Sp. Atk stat of the Pokémon if an ally with the Plus or Minus Ability is also in battle.""",NULL,NULL,50,50,70,"""Ruby / Sapphire""","""Hoenn""",40,45,40,65,40,65,295,0,0,0,0,0,1,1,120,"""Slow""",1250000,59,"""Field""",NULL,20,NULL,NULL
438,310,"""Manectric""","""Discharge Pokemon""",NULL,NULL,NULL,1.5,40.2,"""Electric""",NULL,"""Static""","""The Pokémon is charged with static electricity, so contact with it may cause paralysis.""","""Lightning Rod""","""The Pokémon draws in all Electric-type moves. Instead of being hit by Electric-type moves, it boosts its Sp. Atk.""","""Minus""","""Boosts the Sp. Atk stat of the Pokémon if an ally with the Plus or Minus Ability is also in battle.""",NULL,NULL,50,50,70,"""Ruby / Sapphire""","""Hoenn""",70,75,60,105,60,105,475,0,0,0,0,0,2,2,45,"""Slow""",1250000,166,"""Field""",NULL,20,437,"""Level 26"""
439,311,"""Plusle""","""Cheering Pokemon""",NULL,NULL,NULL,0.4,4.2,"""Electric""",NULL,"""Plus""","""Boosts the Sp. Atk stat of the Pokémon if an ally with the Plus or Minus Ability is also in battle.""",NULL,NULL,"""Lightning Rod""","""The Pokémon draws in all Electric-type moves. Instead of being hit by Electric-type moves, it boosts its Sp. Atk.""",NULL,NULL,50,50,70,"""Ruby / Sapphire""","""Hoenn""",60,50,40,85,75,95,405,0,0,0,0,0,1,1,200,"""Medium Fast""",1000000,142,"""Fairy""",NULL,20,NULL,NULL
440,312,"""Minun""","""Cheering Pokemon""",NULL,NULL,NULL,0.4,4.2,"""Electric""",NULL,"""Minus""","""Boosts the Sp. Atk stat of the Pokémon if an ally with the Plus or Minus Ability is also in battle.""",NULL,NULL,"""Volt Absorb""","""Restores HP if hit by an Electric-type move instead of taking damage.""",NULL,NULL,50,50,70,"""Ruby / Sapphire""","""Hoenn""",60,40,50,75,85,95,405,0,0,0,0,0,1,1,200,"""Medium Fast""",1000000,142,"""Fairy""",NULL,20,NULL,NULL
441,313,"""Volbeat""","""Firefly Pokemon""",NULL,NULL,NULL,0.7,17.7,"""Bug""",NULL,"""Illuminate""","""Raises the likelihood of meeting wild Pokémon by illuminating the surroundings.""","""Swarm""","""Powers up Bug-type moves when the Pokémon's HP is low.""","""Prankster""","""Gives priority to a status move.""",NULL,NULL,100,0,70,"""Ruby / Sapphire""","""Hoenn""",65,73,75,47,85,85,430,0,0,0,0,0,1,1,150,"""Erratic""",600000,151,"""Bug""","""Human-Like""",15,NULL,NULL
442,314,"""Illumise""","""Firefly Pokemon""",NULL,NULL,NULL,0.6,17.7,"""Bug""",NULL,"""Oblivious""","""The Pokémon is oblivious, and that keeps it from being infatuated or falling for taunts.""","""Tinted Lens""","""The Pokémon can use """"not very effective"""" moves to deal regular damage.""","""Prankster""","""Gives priority to a status move.""",NULL,NULL,0,100,70,"""Ruby / Sapphire""","""Hoenn""",65,47,75,73,85,85,430,0,0,0,0,0,1,1,150,"""Fluctuating""",1640000,151,"""Bug""","""Human-Like""",15,NULL,NULL
443,315,"""Roselia""","""Thorn Pokemon""",NULL,NULL,NULL,0.3,2.0,"""Grass""","""Poison""","""Natural Cure""","""All status conditions heal when the Pokémon switches out.""","""Poison Point""","""Contact with the Pokémon may poison the attacker.""","""Leaf Guard""","""Prevents status conditions in harsh sunlight.""",NULL,NULL,50,50,70,"""Ruby / Sapphire""","""Hoenn""",50,60,45,100,80,65,400,0,0,0,2,0,0,2,150,"""Medium Slow""",1059860,140,"""Fairy""","""Grass""",20,604,"""During The Day"""
