pokemon_name,pokedex_number,pokemon_id,classification,pokemon_height,pokemon_weight,primary_type,secondary_type,pre_evo_id,evo_details,primary_ability,primary_ability_desc,secondary_ability,secondary_ability_desc,hidden_ability,hidden_ability_desc,health_stat,attack_stat,defense_stat,special_attack_stat,special_defense_stat,speed_stat,base_stat_total
Houndoom,229,353,Dark Pokémon,1.4,35,Dark,Fire,352,Level 24,Early Bird,The Pokémon awakens from sleep twice as fast as other Pokémon.,Flash Fire,Powers up the Pokémon's Fire-type moves if it's hit by one.,Unnerve,Unnerves opposing Pokémon and makes them unable to eat Berries.,75,90,50,110,80,95,500
Kingdra,230,354,Dragon Pokémon,1.8,152,Water,Dragon,213,Dragon Scale,Swift Swim,Boosts the Pokémon's Speed stat in rain.,Sniper,Powers up moves if they become critical hits when attacking.,Damp,"Prevents the use of explosive moves, such as Self-Destruct, by dampening its surroundings.",75,95,95,95,95,85,540
Phanpy,231,355,Long Nose Pokémon,0.5,33.5,Ground,,,,Pickup,"The Pokémon may pick up the item an opposing Pokémon used during a battle. It may pick up items outside of battle, too.",,,Sand Veil,Boosts the Pokémon's evasiveness in a sandstorm.,90,60,60,40,40,40,330
Donphan,232,356,Armor Pokémon,1.1,120,Ground,,355,Level 25,Sturdy,"It cannot be knocked out with one hit. One-hit KO moves cannot knock it out, either.",,,Sand Veil,Boosts the Pokémon's evasiveness in a sandstorm.,90,120,120,60,60,50,500
Porygon2,233,357,Virtual Pokémon,0.6,32.5,Normal,,232,Upgrade,Trace,"When it enters a battle, the Pokémon copies an opposing Pokémon's Ability.",Download,Compares an opposing Pokémon's Defense and Sp. Def stats before raising its own Attack or Sp. Atk stat—whichever will be more effective.,Analytic,Boosts move power when the Pokémon moves last.,85,80,90,105,95,60,515
Stantler,234,358,Big Horn Pokémon,1.4,71.2,Normal,,,,Intimidate,"The Pokémon intimidates opposing Pokémon upon entering battle, lowering their Attack stat.",Frisk,"When it enters a battle, the Pokémon can check an opposing Pokémon's held item.",Sap Sipper,Boosts the Attack stat if hit by a Grass-type move instead of taking damage.,73,95,62,85,65,85,465
Smeargle,235,359,Painter Pokémon,1.2,58,Normal,,,,Own Tempo,"This Pokémon has its own tempo, and that prevents it from becoming confused.",Technician,Powers up the Pokémon's weaker moves.,Moody,Raises one stat sharply and lowers another every turn.,55,20,35,20,45,75,250
Tyrogue,236,360,Scuffle Pokémon,0.7,21,Fighting,,,,Guts,It's so gutsy that having a status condition boosts the Pokémon's Attack stat.,Steadfast,The Pokémon's determination boosts the Speed stat each time the Pokémon flinches.,Vital Spirit,"The Pokémon is full of vitality, and that prevents it from falling asleep.",35,35,35,35,35,35,210
Hitmontop,237,361,Handstand Pokémon,1.4,48,Fighting,,360,Level 20 With Attack = Defense,Intimidate,"The Pokémon intimidates opposing Pokémon upon entering battle, lowering their Attack stat.",Technician,Powers up the Pokémon's weaker moves.,Steadfast,The Pokémon's determination boosts the Speed stat each time the Pokémon flinches.,50,95,95,35,110,70,455
Smoochum,238,362,Kiss Pokémon,0.4,6,Ice,Psychic,,,Oblivious,"The Pokémon is oblivious, and that keeps it from being infatuated or falling for taunts.",Forewarn,"When it enters a battle, the Pokémon can tell one of the moves an opposing Pokémon has.",Hydration,Heals status conditions if it's raining.,45,30,15,85,65,65,305
Elekid,239,363,Electric Pokémon,0.6,23.5,Electric,,,,Static,"The Pokémon is charged with static electricity, so contact with it may cause paralysis.",,,Vital Spirit,"The Pokémon is full of vitality, and that prevents it from falling asleep.",45,63,37,65,55,95,360
Magby,240,364,Live Coal Pokémon,0.7,21.4,Fire,,,,Flame Body,Contact with the Pokémon may burn the attacker.,,,Vital Spirit,"The Pokémon is full of vitality, and that prevents it from falling asleep.",45,75,37,70,55,83,365
Miltank,241,365,Milk Cow Pokémon,1.2,75.5,Normal,,,,Thick Fat,"The Pokémon is protected by a layer of thick fat, which halves the damage taken from Fire- and Ice-type moves. ",Scrappy,The Pokémon can hit Ghost-type Pokémon with Normal- and Fighting-type moves.,Sap Sipper,Boosts the Attack stat if hit by a Grass-type move instead of taking damage.,95,80,105,40,70,100,490
Blissey,242,366,Happiness Pokémon,1.5,46.8,Normal,,147,,Natural Cure,All status conditions heal when the Pokémon switches out.,Serene Grace,Boosts the likelihood of additional effects occurring when attacking.,Healer,Sometimes heals an ally's status condition.,255,10,10,75,135,55,540
Raikou,243,367,Thunder Pokémon,1.9,178,Electric,,,,Pressure,"By putting pressure on the opposing Pokémon, it raises their PP usage.",,,Inner Focus,"The Pokémon's intensely focused, and that protects the Pokémon from flinching.",90,85,75,115,100,115,580
Entei,244,368,Volcano Pokémon,2.1,198,Fire,,,,Pressure,"By putting pressure on the opposing Pokémon, it raises their PP usage.",,,Inner Focus,"The Pokémon's intensely focused, and that protects the Pokémon from flinching.",115,115,85,90,75,100,580
Suicune,245,369,Aurora Pokémon,2,187,Water,,,,Pressure,"By putting pressure on the opposing Pokémon, it raises their PP usage.",,,Inner Focus,"The Pokémon's intensely focused, and that protects the Pokémon from flinching.",100,75,115,90,115,85,580
Larvitar,246,370,Rock Skin Pokémon,0.6,72,Rock,Ground,,,Guts,It's so gutsy that having a status condition boosts the Pokémon's Attack stat.,,,Sand Veil,Boosts the Pokémon's evasiveness in a sandstorm.,50,64,50,45,50,41,300
Pupitar,247,371,Hard Shell Pokémon,1.2,152,Rock,Ground,370,Level 30,Shed Skin,The Pokémon may heal its own status conditions by shedding its skin.,,,,,70,84,70,65,70,51,410
Tyranitar,248,372,Armor Pokémon,2,202,Rock,Dark,371,Level 55,Sand Stream,The Pokémon summons a sandstorm when it enters a battle.,,,Unnerve,Unnerves opposing Pokémon and makes them unable to eat Berries.,100,134,110,95,100,61,600
Lugia,249,373,Diving Pokémon,5.2,216,Psychic,Flying,,,Pressure,"By putting pressure on the opposing Pokémon, it raises their PP usage.",,,Multiscale,Reduces the amount of damage the Pokémon takes while its HP is full.,106,90,130,90,154,110,680
Ho-Oh,250,374,Rainbow Pokémon,3.8,199,Fire,Flying,,,Pressure,"By putting pressure on the opposing Pokémon, it raises their PP usage.",,,Regenerator,Restores a little HP when withdrawn from battle.,106,130,90,110,154,90,680
Celebi,251,375,Time Travel Pokémon,0.6,5,Psychic,Grass,,,Natural Cure,All status conditions heal when the Pokémon switches out.,,,,,100,100,100,100,100,100,600
Treecko,252,380,Wood Gecko Pokémon,0.5,5,Grass,,,,Overgrow,Powers up Grass-type moves when the Pokémon's HP is low.,,,Unburden,Boosts the Speed stat if the Pokémon's held item is used or lost.,40,45,35,65,55,70,310
Grovyle,253,381,Wood Gecko Pokémon,0.9,21.6,Grass,,380,Level 16,Overgrow,Powers up Grass-type moves when the Pokémon's HP is low.,,,Unburden,Boosts the Speed stat if the Pokémon's held item is used or lost.,50,65,45,85,65,95,405
Sceptile,254,382,Forest Pokémon,1.7,52.2,Grass,,381,Level 36,Overgrow,Powers up Grass-type moves when the Pokémon's HP is low.,,,Unburden,Boosts the Speed stat if the Pokémon's held item is used or lost.,70,85,65,105,85,120,530
Torchic,255,383,Chick Pokémon,0.4,2.5,Fire,,,,Blaze,Powers up Fire-type moves when the Pokémon's HP is low. ,,,Speed Boost,Its Speed stat is boosted every turn.,45,60,40,70,50,45,310
Combusken,256,384,Young Fowl Pokémon,0.9,19.5,Fire,Fighting,383,Level 16,Blaze,Powers up Fire-type moves when the Pokémon's HP is low. ,,,Speed Boost,Its Speed stat is boosted every turn.,60,85,60,85,60,55,405
Blaziken,257,385,Blaze Pokémon,1.9,52,Fire,Fighting,384,Level 36,Blaze,Powers up Fire-type moves when the Pokémon's HP is low. ,,,Speed Boost,Its Speed stat is boosted every turn.,80,120,70,110,70,80,530
Mudkip,258,386,Mud Fish Pokémon,0.4,7.6,Water,,,,Torrent,Powers up Water-type moves when the Pokémon's HP is low. ,,,Damp,"Prevents the use of explosive moves, such as Self-Destruct, by dampening its surroundings.",50,70,50,50,50,40,310
Marshtomp,259,387,Mud Fish Pokémon,0.7,28,Water,Ground,386,Level 16,Torrent,Powers up Water-type moves when the Pokémon's HP is low. ,,,Damp,"Prevents the use of explosive moves, such as Self-Destruct, by dampening its surroundings.",70,85,70,60,70,50,405
Swampert,260,388,Mud Fish Pokémon,1.5,81.9,Water,Ground,387,Level 36,Torrent,Powers up Water-type moves when the Pokémon's HP is low. ,,,Damp,"Prevents the use of explosive moves, such as Self-Destruct, by dampening its surroundings.",100,110,90,85,90,60,535
Poochyena,261,389,Bite Pokémon,0.5,13.6,Dark,,,,Run Away,Enables a sure getaway from wild Pokémon.,Quick Feet,Boosts the Speed stat if the Pokémon has a status condition.,Rattled,"Dark-, Ghost-, and Bug-type moves scare the Pokémon and boost its Speed stat.",35,55,35,30,30,35,220
Mightyena,262,390,Bite Pokémon,1,37,Dark,,389,Level 18,Intimidate,"The Pokémon intimidates opposing Pokémon upon entering battle, lowering their Attack stat.",Quick Feet,Boosts the Speed stat if the Pokémon has a status condition.,Moxie,"The Pokémon shows moxie, and that boosts the Attack stat after knocking out any Pokémon.",70,90,70,60,60,70,420
Zigzagoon,263,391,Tiny Raccoon Pokémon,0.4,17.5,Normal,,,,Pickup,"The Pokémon may pick up the item an opposing Pokémon used during a battle. It may pick up items outside of battle, too.",Gluttony,"Makes the Pokémon eat a held Berry when its HP drops to half or less, which is sooner than usual.",Quick Feet,Boosts the Speed stat if the Pokémon has a status condition.,38,30,41,30,41,60,240
Linoone,264,392,Rushing Pokémon,0.5,32.5,Normal,,391,Level 20,Pickup,"The Pokémon may pick up the item an opposing Pokémon used during a battle. It may pick up items outside of battle, too.",Gluttony,"Makes the Pokémon eat a held Berry when its HP drops to half or less, which is sooner than usual.",Quick Feet,Boosts the Speed stat if the Pokémon has a status condition.,78,70,61,50,61,100,420
Wurmple,265,393,Worm Pokémon,0.3,3.6,Bug,,,,Shield Dust,This Pokémon's dust blocks the additional effects of attacks taken.,,,Run Away,Enables a sure getaway from wild Pokémon.,45,45,35,20,30,20,195
Silcoon,266,394,Cocoon Pokémon,0.6,10,Bug,,393,Level 7 Based On Personality Value,Shed Skin,The Pokémon may heal its own status conditions by shedding its skin.,,,,,50,35,55,25,25,15,205
Beautifly,267,395,Butterfly Pokémon,1,28.4,Bug,Flying,394,Level 10,Swarm,Powers up Bug-type moves when the Pokémon's HP is low.,,,Rivalry,"Becomes competitive and deals more damage to Pokémon of the same gender, but deals less to Pokémon of the opposite gender.",60,70,50,100,50,65,395
Cascoon,268,396,Cocoon Pokémon,0.7,11.5,Bug,,393,Level 7 Based On Personality Value,Shed Skin,The Pokémon may heal its own status conditions by shedding its skin.,,,,,50,35,55,25,25,15,205
Dustox,269,397,Poison Moth Pokémon,1.2,31.6,Bug,Poison,396,Level 10,Shield Dust,This Pokémon's dust blocks the additional effects of attacks taken.,,,Compound Eyes,The Pokémon's compound eyes boost its accuracy.,60,50,70,50,90,65,385
Lotad,270,398,Water Weed Pokémon,0.5,2.6,Water,Grass,,,Swift Swim,Boosts the Pokémon's Speed stat in rain.,Rain Dish,The Pokémon gradually regains HP in rain. ,Own Tempo,"This Pokémon has its own tempo, and that prevents it from becoming confused.",40,30,30,40,50,30,220
Lombre,271,399,Jolly Pokémon,1.2,32.5,Water,Grass,398,Level 14,Swift Swim,Boosts the Pokémon's Speed stat in rain.,Rain Dish,The Pokémon gradually regains HP in rain. ,Own Tempo,"This Pokémon has its own tempo, and that prevents it from becoming confused.",60,50,50,60,70,50,340
Ludicolo,272,400,Carefree Pokémon,1.5,55,Water,Grass,399,Water Stone,Swift Swim,Boosts the Pokémon's Speed stat in rain.,Rain Dish,The Pokémon gradually regains HP in rain. ,Own Tempo,"This Pokémon has its own tempo, and that prevents it from becoming confused.",80,70,70,90,100,70,480
Seedot,273,401,Acorn Pokémon,0.5,4,Grass,,,,Chlorophyll,Boosts the Pokémon's Speed stat in harsh sunlight. ,Early Bird,The Pokémon awakens from sleep twice as fast as other Pokémon.,Pickpocket,Steals an item from an attacker that made direct contact.,40,40,50,30,30,30,220
Nuzleaf,274,402,Wily Pokémon,1,28,Grass,Dark,401,Level 14,Chlorophyll,Boosts the Pokémon's Speed stat in harsh sunlight. ,Early Bird,The Pokémon awakens from sleep twice as fast as other Pokémon.,Pickpocket,Steals an item from an attacker that made direct contact.,70,70,40,60,40,60,340
Shiftry,275,403,Wicked Pokémon,1.3,59.6,Grass,Dark,402,Leaf Stone,Chlorophyll,Boosts the Pokémon's Speed stat in harsh sunlight. ,Early Bird,The Pokémon awakens from sleep twice as fast as other Pokémon.,Pickpocket,Steals an item from an attacker that made direct contact.,90,100,60,90,60,80,480
Taillow,276,404,Tiny Swallow Pokémon,0.3,2.3,Normal,Flying,,,Guts,It's so gutsy that having a status condition boosts the Pokémon's Attack stat.,,,Scrappy,The Pokémon can hit Ghost-type Pokémon with Normal- and Fighting-type moves.,40,55,30,30,30,85,270
Swellow,277,405,Swallow Pokémon,0.7,19.8,Normal,Flying,404,Level 22,Guts,It's so gutsy that having a status condition boosts the Pokémon's Attack stat.,,,Scrappy,The Pokémon can hit Ghost-type Pokémon with Normal- and Fighting-type moves.,60,85,60,75,50,125,455
Wingull,278,406,Seagull Pokémon,0.6,9.5,Water,Flying,,,Keen Eye,Keen eyes prevent other Pokémon from lowering this Pokémon's accuracy.,Hydration,Heals status conditions if it's raining.,Rain Dish,The Pokémon gradually regains HP in rain. ,40,30,30,55,30,85,270
Pelipper,279,407,Water Bird Pokémon,1.2,28,Water,Flying,406,Level 25,Keen Eye,Keen eyes prevent other Pokémon from lowering this Pokémon's accuracy.,Drizzle,The Pokémon makes it rain when it enters a battle.,Rain Dish,The Pokémon gradually regains HP in rain. ,60,50,100,95,70,65,440
Ralts,280,408,Feeling Pokémon,0.4,6.6,Psychic,Fairy,,,Synchronize,"The attacker will receive the same status condition if it inflicts a burn, poison, or paralysis to the Pokémon.",Trace,"When it enters a battle, the Pokémon copies an opposing Pokémon's Ability.",Telepathy,Anticipates an ally's attack and dodges it.,28,25,25,45,35,40,198
Kirlia,281,409,Emotion Pokémon,0.8,20.2,Psychic,Fairy,408,Level 20,Synchronize,"The attacker will receive the same status condition if it inflicts a burn, poison, or paralysis to the Pokémon.",Trace,"When it enters a battle, the Pokémon copies an opposing Pokémon's Ability.",Telepathy,Anticipates an ally's attack and dodges it.,38,35,35,65,55,50,278
Gardevoir,282,410,Embrace Pokémon,1.6,48.4,Psychic,Fairy,409,Level 30,Synchronize,"The attacker will receive the same status condition if it inflicts a burn, poison, or paralysis to the Pokémon.",Trace,"When it enters a battle, the Pokémon copies an opposing Pokémon's Ability.",Telepathy,Anticipates an ally's attack and dodges it.,68,65,65,125,115,80,518
Surskit,283,411,Pond Skater Pokémon,0.5,1.7,Bug,Water,,,Swift Swim,Boosts the Pokémon's Speed stat in rain.,,,Rain Dish,The Pokémon gradually regains HP in rain. ,40,30,32,50,52,65,269
Masquerain,284,412,Eyeball Pokémon,0.8,3.6,Bug,Flying,411,Level 22,Intimidate,"The Pokémon intimidates opposing Pokémon upon entering battle, lowering their Attack stat.",,,Unnerve,Unnerves opposing Pokémon and makes them unable to eat Berries.,70,60,62,100,82,80,454
Shroomish,285,413,Mushroom Pokémon,0.4,4.5,Grass,,,,Effect Spore,"Contact with the Pokémon may inflict poison, sleep, or paralysis on its attacker.",Poison Heal,Restores HP if the Pokémon is poisoned instead of losing HP.,Quick Feet,Boosts the Speed stat if the Pokémon has a status condition.,60,40,60,40,60,35,295
Breloom,286,414,Mushroom Pokémon,1.2,39.2,Grass,Fighting,413,Level 23,Effect Spore,"Contact with the Pokémon may inflict poison, sleep, or paralysis on its attacker.",Poison Heal,Restores HP if the Pokémon is poisoned instead of losing HP.,Technician,Powers up the Pokémon's weaker moves.,60,130,80,60,60,70,460
Slakoth,287,415,Slacker Pokémon,0.8,24,Normal,,,,Truant,The Pokémon can't use a move if it had used a move on the previous turn.,,,,,60,60,60,35,35,30,280
Vigoroth,288,416,Wild Monkey Pokémon,1.4,46.5,Normal,,415,Level 18,Vital Spirit,"The Pokémon is full of vitality, and that prevents it from falling asleep.",,,,,80,80,80,55,55,90,440
Slaking,289,417,Lazy Pokémon,2,130.5,Normal,,416,Level 36,Truant,The Pokémon can't use a move if it had used a move on the previous turn.,,,,,150,160,100,95,65,100,670
Nincada,290,418,Trainee Pokémon,0.5,5.5,Bug,Ground,,,Compound Eyes,The Pokémon's compound eyes boost its accuracy.,,,Run Away,Enables a sure getaway from wild Pokémon.,31,45,90,30,30,40,266
Ninjask,291,419,Ninja Pokémon,0.8,12,Bug,Flying,418,Level 20,Speed Boost,Its Speed stat is boosted every turn.,,,Infiltrator,"Passes through the opposing Pokémon's barrier, substitute, and the like and strikes.",61,90,45,50,50,160,456
Shedinja,292,420,Shed Pokémon,0.8,1.2,Bug,Ghost,418,Have A Pokeball And Empty Space In Party,Wonder Guard,Its mysterious power only lets supereffective moves hit the Pokémon.,,,,,1,90,45,30,30,40,236
Whismur,293,421,Whisper Pokémon,0.6,16.3,Normal,,,,Soundproof,Soundproofing gives the Pokémon full immunity to all sound-based moves.,,,Rattled,"Dark-, Ghost-, and Bug-type moves scare the Pokémon and boost its Speed stat.",64,51,23,51,23,28,240
Loudred,294,422,Big Voice Pokémon,1,40.5,Normal,,421,Level 20,Soundproof,Soundproofing gives the Pokémon full immunity to all sound-based moves.,,,Scrappy,The Pokémon can hit Ghost-type Pokémon with Normal- and Fighting-type moves.,84,71,43,71,43,48,360
Exploud,295,423,Loud Noise Pokémon,1.5,84,Normal,,422,Level 40,Soundproof,Soundproofing gives the Pokémon full immunity to all sound-based moves.,,,Scrappy,The Pokémon can hit Ghost-type Pokémon with Normal- and Fighting-type moves.,104,91,63,91,73,68,490
Makuhita,296,424,Guts Pokémon,1,86.4,Fighting,,,,Thick Fat,"The Pokémon is protected by a layer of thick fat, which halves the damage taken from Fire- and Ice-type moves. ",Guts,It's so gutsy that having a status condition boosts the Pokémon's Attack stat.,Sheer Force,Removes additional effects to increase the power of moves when attacking.,72,60,30,20,30,25,237
Hariyama,297,425,Arm Thrust Pokémon,2.3,253.8,Fighting,,424,Level 24,Thick Fat,"The Pokémon is protected by a layer of thick fat, which halves the damage taken from Fire- and Ice-type moves. ",Guts,It's so gutsy that having a status condition boosts the Pokémon's Attack stat.,Sheer Force,Removes additional effects to increase the power of moves when attacking.,144,120,60,40,60,50,474
Azurill,298,426,Polka Dot Pokémon,0.2,2,Normal,Fairy,,,Thick Fat,"The Pokémon is protected by a layer of thick fat, which halves the damage taken from Fire- and Ice-type moves. ",Huge Power,Doubles the Pokémon's Attack stat.,Sap Sipper,Boosts the Attack stat if hit by a Grass-type move instead of taking damage.,50,20,40,20,40,20,190
Nosepass,299,427,Compass Pokémon,1,97,Rock,,,,Sturdy,"It cannot be knocked out with one hit. One-hit KO moves cannot knock it out, either.",Magnet Pull,Prevents Steel-type Pokémon from escaping using its magnetic force.,Sand Force,"Boosts the power of Rock-, Ground-, and Steel-type moves in a sandstorm.",30,45,135,45,90,30,375
Skitty,300,428,Kitten Pokémon,0.6,11,Normal,,,,Cute Charm,Contact with the Pokémon may cause infatuation.,Normalize,All the Pokémon's moves become Normal type. The power of those moves is boosted a little.,Wonder Skin,Makes status moves more likely to miss.,50,45,45,35,35,50,260
Delcatty,301,429,Prim Pokémon,1.1,32.6,Normal,,428,Moon Stone,Cute Charm,Contact with the Pokémon may cause infatuation.,Normalize,All the Pokémon's moves become Normal type. The power of those moves is boosted a little.,Wonder Skin,Makes status moves more likely to miss.,70,65,65,55,55,90,400
Sableye,302,430,Darkness Pokémon,0.5,11,Dark,Ghost,,,Keen Eye,Keen eyes prevent other Pokémon from lowering this Pokémon's accuracy.,Stall,The Pokémon moves after all other Pokémon do.,Prankster,Gives priority to a status move.,50,75,75,65,65,50,380
Mawile,303,431,Deceiver Pokémon,0.6,11.5,Steel,Fairy,,,Hyper Cutter,The Pokémon's proud of its powerful pincers. They prevent other Pokémon from lowering its Attack stat.,Intimidate,"The Pokémon intimidates opposing Pokémon upon entering battle, lowering their Attack stat.",Sheer Force,Removes additional effects to increase the power of moves when attacking.,50,85,85,55,55,50,380
Aron,304,432,Iron Armor Pokémon,0.4,60,Steel,Rock,,,Sturdy,"It cannot be knocked out with one hit. One-hit KO moves cannot knock it out, either.",Rock Head,Protects the Pokémon from recoil damage.,Heavy Metal,Doubles the Pokémon's weight.,50,70,100,40,40,30,330
Lairon,305,433,Iron Armor Pokémon,0.9,120,Steel,Rock,432,Level 32,Sturdy,"It cannot be knocked out with one hit. One-hit KO moves cannot knock it out, either.",Rock Head,Protects the Pokémon from recoil damage.,Heavy Metal,Doubles the Pokémon's weight.,60,90,140,50,50,40,430
Aggron,306,434,Iron Armor Pokémon,2.1,360,Steel,Rock,433,Level 42,Sturdy,"It cannot be knocked out with one hit. One-hit KO moves cannot knock it out, either.",Rock Head,Protects the Pokémon from recoil damage.,Heavy Metal,Doubles the Pokémon's weight.,70,110,180,60,60,50,530
Meditite,307,435,Meditate Pokémon,0.6,11.2,Fighting,Psychic,,,Pure Power,"Using its pure power, the Pokémon doubles its Attack stat.",,,Telepathy,Anticipates an ally's attack and dodges it.,30,40,55,40,55,60,280
Medicham,308,436,Meditate Pokémon,1.3,31.5,Fighting,Psychic,435,Level 37,Pure Power,"Using its pure power, the Pokémon doubles its Attack stat.",,,Telepathy,Anticipates an ally's attack and dodges it.,60,60,75,60,75,80,410
Electrike,309,437,Lightning Pokémon,0.6,15.2,Electric,,,,Static,"The Pokémon is charged with static electricity, so contact with it may cause paralysis.",Lightning Rod,"The Pokémon draws in all Electric-type moves. Instead of being hit by Electric-type moves, it boosts its Sp. Atk.",Minus,Boosts the Sp. Atk stat of the Pokémon if an ally with the Plus or Minus Ability is also in battle.,40,45,40,65,40,65,295
Manectric,310,438,Discharge Pokémon,1.5,40.2,Electric,,437,Level 26,Static,"The Pokémon is charged with static electricity, so contact with it may cause paralysis.",Lightning Rod,"The Pokémon draws in all Electric-type moves. Instead of being hit by Electric-type moves, it boosts its Sp. Atk.",Minus,Boosts the Sp. Atk stat of the Pokémon if an ally with the Plus or Minus Ability is also in battle.,70,75,60,105,60,105,475
Plusle,311,439,Cheering Pokémon,0.4,4.2,Electric,,,,Plus,Boosts the Sp. Atk stat of the Pokémon if an ally with the Plus or Minus Ability is also in battle.,,,Lightning Rod,"The Pokémon draws in all Electric-type moves. Instead of being hit by Electric-type moves, it boosts its Sp. Atk.",60,50,40,85,75,95,405
Minun,312,440,Cheering Pokémon,0.4,4.2,Electric,,,,Minus,Boosts the Sp. Atk stat of the Pokémon if an ally with the Plus or Minus Ability is also in battle.,,,Volt Absorb,Restores HP if hit by an Electric-type move instead of taking damage.,60,40,50,75,85,95,405
Volbeat,313,441,Firefly Pokémon,0.7,17.7,Bug,,,,Illuminate,Raises the likelihood of meeting wild Pokémon by illuminating the surroundings.,Swarm,Powers up Bug-type moves when the Pokémon's HP is low.,Prankster,Gives priority to a status move.,65,73,75,47,85,85,430
Illumise,314,442,Firefly Pokémon,0.6,17.7,Bug,,,,Oblivious,"The Pokémon is oblivious, and that keeps it from being infatuated or falling for taunts.",Tinted Lens,The Pokémon can use not very effective moves to deal regular damage.,Prankster,Gives priority to a status move.,65,47,75,73,85,85,430
Roselia,315,443,Thorn Pokémon,0.3,2,Grass,Poison,604,During The Day,Natural Cure,All status conditions heal when the Pokémon switches out.,Poison Point,Contact with the Pokémon may poison the attacker.,Leaf Guard,Prevents status conditions in harsh sunlight.,50,60,45,100,80,65,400
Gulpin,316,444,Stomach Pokémon,0.4,10.3,Poison,,,,Liquid Ooze,"The oozed liquid has a strong stench, which damages attackers using any draining move.",Sticky Hold,Items held by the Pokémon are stuck fast and cannot be removed by other Pokémon.,Gluttony,"Makes the Pokémon eat a held Berry when its HP drops to half or less, which is sooner than usual.",70,43,53,43,53,40,302
Swalot,317,445,Poison Bag Pokémon,1.7,80,Poison,,444,Level 26,Liquid Ooze,"The oozed liquid has a strong stench, which damages attackers using any draining move.",Sticky Hold,Items held by the Pokémon are stuck fast and cannot be removed by other Pokémon.,Gluttony,"Makes the Pokémon eat a held Berry when its HP drops to half or less, which is sooner than usual.",100,73,83,73,83,55,467
Carvanha,318,446,Savage Pokémon,0.8,20.8,Water,Dark,,,Rough Skin,This Pokémon inflicts damage with its rough skin to the attacker on contact.,,,Speed Boost,Its Speed stat is boosted every turn.,45,90,20,65,20,65,305
Sharpedo,319,447,Brutal Pokémon,1.8,88.8,Water,Dark,446,Level 30,Rough Skin,This Pokémon inflicts damage with its rough skin to the attacker on contact.,,,Speed Boost,Its Speed stat is boosted every turn.,70,120,40,95,40,95,460
Wailmer,320,448,Ball Whale Pokémon,2,130,Water,,,,Water Veil,"The Pokémon is covered with a water veil, which prevents the Pokémon from getting a burn.",Oblivious,"The Pokémon is oblivious, and that keeps it from being infatuated or falling for taunts.",Pressure,"By putting pressure on the opposing Pokémon, it raises their PP usage.",130,70,35,70,35,60,400
Wailord,321,449,Float Whale Pokémon,14.5,398,Water,,448,Level 40,Water Veil,"The Pokémon is covered with a water veil, which prevents the Pokémon from getting a burn.",Oblivious,"The Pokémon is oblivious, and that keeps it from being infatuated or falling for taunts.",Pressure,"By putting pressure on the opposing Pokémon, it raises their PP usage.",170,90,45,90,45,60,500
Numel,322,450,Numb Pokémon,0.7,24,Fire,Ground,,,Oblivious,"The Pokémon is oblivious, and that keeps it from being infatuated or falling for taunts.",Simple,The stat changes the Pokémon receives are doubled.,Own Tempo,"This Pokémon has its own tempo, and that prevents it from becoming confused.",60,60,40,65,45,35,305
Camerupt,323,451,Eruption Pokémon,1.9,220,Fire,Ground,450,Level 33,Magma Armor,"The Pokémon is covered with hot magma, which prevents the Pokémon from becoming frozen.",Solid Rock,Reduces the power of supereffective attacks taken.,Anger Point,"The Pokémon is angered when it takes a critical hit, and that maxes its Attack stat.",70,100,70,105,75,40,460
Torkoal,324,452,Coal Pokémon,0.5,80.4,Fire,,,,White Smoke,"The Pokémon is protected by its white smoke, which prevents other Pokémon from lowering its stats.",Drought,Turns the sunlight harsh when the Pokémon enters a battle.,Shell Armor,A hard shell protects the Pokémon from critical hits.,70,85,140,85,70,20,470
Spoink,325,453,Bounce Pokémon,0.7,30.6,Psychic,,,,Thick Fat,"The Pokémon is protected by a layer of thick fat, which halves the damage taken from Fire- and Ice-type moves. ",Own Tempo,"This Pokémon has its own tempo, and that prevents it from becoming confused.",Gluttony,"Makes the Pokémon eat a held Berry when its HP drops to half or less, which is sooner than usual.",60,25,35,70,80,60,330
Grumpig,326,454,Manipulate Pokémon,0.9,71.5,Psychic,,453,Level 32,Thick Fat,"The Pokémon is protected by a layer of thick fat, which halves the damage taken from Fire- and Ice-type moves. ",Own Tempo,"This Pokémon has its own tempo, and that prevents it from becoming confused.",Gluttony,"Makes the Pokémon eat a held Berry when its HP drops to half or less, which is sooner than usual.",80,45,65,90,110,80,470
Spinda,327,455,Spot Panda Pokémon,1.1,5,Normal,,,,Own Tempo,"This Pokémon has its own tempo, and that prevents it from becoming confused.",Tangled Feet,Raises evasiveness if the Pokémon is confused.,Contrary,Makes stat changes have an opposite effect.,60,60,60,60,60,60,360
Trapinch,328,456,Ant Pit Pokémon,0.7,15,Ground,,,,Hyper Cutter,The Pokémon's proud of its powerful pincers. They prevent other Pokémon from lowering its Attack stat.,Arena Trap,Prevents opposing Pokémon from fleeing.,Sheer Force,Removes additional effects to increase the power of moves when attacking.,45,100,45,45,45,10,290
Vibrava,329,457,Vibration Pokémon,1.1,15.3,Ground,Dragon,456,Level 35,Levitate,"By floating in the air, the Pokémon receives full immunity to all Ground-type moves.",,,,,50,70,50,50,50,70,340
